1,1,2,2,1,1
2,1,22,2,1,1
3,2,3,2,2,1
4,3,4,2,3,1
5,4,5,2,4,1
6,5,6,2,5,1
7,6,7,2,6,1
8,7,8,2,7,1
9,8,9,2,8,1
10,9,10,2,9,1
11,10,11,2,10,1
12,11,12,2,11,1
13,12,13,2,12,1
14,13,14,2,13,1
15,14,15,2,14,1
16,15,16,2,15,1
17,16,17,2,16,1
18,17,18,2,17,1
19,18,19,2,18,1
20,19,20,2,19,1
21,20,21,2,20,1
22,21,42,2,20,1
23,22,43,2,21,1
24,42,63,2,40,1
25,43,64,2,41,1
26,63,84,2,60,1
27,64,85,2,61,1
28,84,105,2,80,1
29,85,106,2,81,1
30,105,126,2,100,1
31,106,127,2,101,1
32,126,147,2,120,1
33,127,148,2,121,1
34,147,168,2,140,1
35,148,169,2,141,1
36,168,189,2,160,1
37,169,190,2,161,1
38,189,210,2,180,1
39,190,211,2,181,1
40,210,231,2,200,1
41,211,232,2,201,1
42,231,252,2,220,1
43,232,253,2,221,1
44,252,273,2,240,1
45,253,274,2,241,1
46,273,294,2,260,1
47,274,295,2,261,1
48,294,315,2,280,1
49,295,316,2,281,1
50,315,336,2,300,1
51,316,337,2,301,1
52,336,357,2,320,1
53,337,358,2,321,1
54,357,378,2,340,1
55,358,379,2,341,1
56,378,399,2,360,1
57,379,400,2,361,1
58,399,420,2,380,1
59,400,421,2,381,1
60,421,422,2,381,1
61,422,423,2,382,1
62,423,424,2,383,1
63,424,425,2,384,1
64,425,426,2,385,1
65,426,427,2,386,1
66,427,428,2,387,1
67,428,429,2,388,1
68,429,430,2,389,1
69,430,431,2,390,1
70,431,432,2,391,1
71,432,433,2,392,1
72,433,434,2,393,1
73,434,435,2,394,1
74,435,436,2,395,1
75,436,437,2,396,1
76,437,438,2,397,1
77,438,439,2,398,1
78,439,440,2,399,1
79,420,441,2,400,1
80,440,441,2,400,1
